web_scraper_order,web_scraper_start_url,data,data2,name,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,image
"1782372088-11","https://www.legalizer.cc/search/44355335/?q=%D0%BA%D1%83%D0%BF%D0%BB%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83+%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD&o=date","Куплю Казахстан Куплю Банковские карты Казахстана.","Добрый день форумчани,куплю Банковские карты Казахстана, или возьму в аренду под 20 процентов. Доход каждый день. По всем вопросам на телегу...","Gagarings","Куплю","Автор темы: Gagarings,
			11/4/22,
			ответов - 0,
			в разделе: Корзина","11/4/22","Корзина","Казахстан","","","Казахстан","Куплю","куплю","Казахстан","Тема","https://www.legalizer.cc/search/44355335/styles/default/xenforo/avatars/avatar_male_s.png"
"1782372088-12","https://www.legalizer.cc/search/44355335/?q=%D0%BA%D1%83%D0%BF%D0%BB%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83+%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD&o=date","Куплю банковскую карту (Сбербанк Альфа банк Халык банк ) пишите в телеграмм @qwertumila","Срочно куплю дроповую карту (Казахстан)","Тамила","Куплю","Запись в блоге: Тамила,
			25/3/22","25/3/22","","карту","","","","","куплю","карту","","https://www.legalizer.cc/search/44355335/styles/default/xenforo/avatars/avatar_s.png"
"1782372088-13","https://www.legalizer.cc/search/44355335/?q=%D0%BA%D1%83%D0%BF%D0%BB%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83+%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD&o=date","Куплю Казахстан Куплю карты Казахстана, или возьму в аренду лк.","Добрый день,  куплю Банковские карты Казахстана,  хорошая цена. Или работаю на вашу карту под 20% с каждой транзакции.  Схема серая процент каждый...","Gagarings","Куплю","Автор темы: Gagarings,
			25/3/22,
			ответов - 0,
			в разделе: Корзина","25/3/22","Корзина","Казахстан","","","Казахстан","Куплю","куплю","Казахстан","Тема","https://www.legalizer.cc/search/44355335/styles/default/xenforo/avatars/avatar_male_s.png"
"1782372088-14","https://www.legalizer.cc/search/44355335/?q=%D0%BA%D1%83%D0%BF%D0%BB%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83+%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD&o=date","Куплю Казахстан Куплю карты Казахстана","Куплю карты Казахстана пишите в телеграм @Uniloe_gavno","Gagarings","Куплю","Автор темы: Gagarings,
			2/2/22,
			ответов - 0,
			в разделе: Корзина","2/2/22","Корзина","Казахстан","","","Казахстан","Куплю","Куплю","Казахстан","Тема","https://www.legalizer.cc/search/44355335/styles/default/xenforo/avatars/avatar_male_s.png"
"1782372088-15","https://www.legalizer.cc/search/44355335/?q=%D0%BA%D1%83%D0%BF%D0%BB%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83+%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD&o=date","Куплю Покупаю верифицированные аккаунты","Контакты для связи со мной:
телеграм https://t.me/selfieproof1984
телеграм для гостей форума @selfieproof1984
почта selfieproof1984@yandex.ru...","anonimusccn","","Сообщение от: anonimusccn,
			1/1/22
			в разделе: Доска объявлений международная","1/1/22","Доска объявлений международная","","","","","Куплю","","","Сообщение","https://www.legalizer.cc/search/44355335/styles/default/xenforo/avatars/avatar_male_s.png"
"1782372088-16","https://www.legalizer.cc/search/44355335/?q=%D0%BA%D1%83%D0%BF%D0%BB%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83+%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD&o=date","Куплю Казахстан Ищу Карты Казахстан","Куплю карты Казахстана, любые банки, по цене договоримся пишите в тг https://t.me/gaba_01  @gaba_01","Boss uka","Казахстан","Сообщение от: Boss uka,
			11/11/21
			в разделе: Обналичка, Обмен, Карты, Кошельки, Аккаунты","11/11/21","Обналичка, Обмен, Карты, Кошельки, Аккаунты","","Ищу","","Казахстан","Куплю","Куплю","Казахстан","Сообщение","https://www.legalizer.cc/search/44355335/styles/default/xenforo/avatars/avatar_male_s.png"
"1782372088-17","https://www.legalizer.cc/search/44355335/?q=%D0%BA%D1%83%D0%BF%D0%BB%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83+%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD&o=date","Куплю скупаю юзанные комплекты только с селфи:фото паспортов,айди карт с двух сторон и прав с двух сторон","скупаю юзанные комплекты только с селфи:фото паспортов,айди карт с двух сторон и прав с двух сторон
дамы и господа я советую подписаться на эту...","anonimusccn","","Сообщение от: anonimusccn,
			19/10/21
			в разделе: Корзина","19/10/21","Корзина","","","","","Куплю","","","Сообщение","https://www.legalizer.cc/search/44355335/styles/default/xenforo/avatars/avatar_male_s.png"
"1782372088-18","https://www.legalizer.cc/search/44355335/?q=%D0%BA%D1%83%D0%BF%D0%BB%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83+%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD&o=date","Продам Услуги UNNAMED SHOP - Идентификация Qiwi / Готовые кошельки Qiwi","[IMG]

ПРАЙС ЛИСТ:

Идентификация Qiwi - 10 грн / 1 шт
Готовые кошельки Qiwi - 100 грн / 1 шт

Кошельки без смс привязки, украинские номера,...","iwannafly","","Сообщение от: iwannafly,
			10/10/21
			в разделе: Обналичка, Обмен, Карты, Кошельки, Аккаунты","10/10/21","Обналичка, Обмен, Карты, Кошельки, Аккаунты","","","Продам","","","","","Сообщение","https://www.legalizer.cc/search/44355335/styles/default/xenforo/avatars/avatar_s.png"
"1782372088-19","https://www.legalizer.cc/search/44355335/?q=%D0%BA%D1%83%D0%BF%D0%BB%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83+%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD&o=date","⚡Быстро ★Чётко Идентификация, готовые кошельки Qiwi / YooMoney","Доброго времени суток, дорогие пользователи и гости нашего любимого форума LegalizeR

Я создатель прошлой темы по бесплатной идентификации Qiwi /...","iwannafly","","Сообщение от: iwannafly,
			4/9/21
			в разделе: Бесплатные схемы , мануалы и курсы заработка","4/9/21","Бесплатные схемы , мануалы и курсы заработка","","⚡Быстро","★Чётко","","","","","Сообщение","https://www.legalizer.cc/search/44355335/styles/default/xenforo/avatars/avatar_s.png"
"1782372088-20","https://www.legalizer.cc/search/44355335/?q=%D0%BA%D1%83%D0%BF%D0%BB%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83+%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD&o=date","Казахстан куплю банковские карты Альфа , Халык или обнал","Куплю банковские карты альфа банка и халыка. Нужны вместе с симкой. Город Алматы.

Либо нужен обнал по переводу на счет","Werst903","куплю","Автор темы: Werst903,
			4/8/21,
			ответов - 5,
			в разделе: Обналичка, Обмен, Карты, Кошельки, Аккаунты","4/8/21","Обналичка, Обмен, Карты, Кошельки, Аккаунты","","","","Казахстан","","Куплю","","Тема","https://www.legalizer.cc/search/44355335/styles/default/xenforo/avatars/avatar_s.png"
